iddrink,strdrink,stralcoholic,strcategory,strglass,strinstructions
13192,National Aquarium,Alcoholic,Ordinary Drink,Collins Glass,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.
12792,Amaretto Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging."
12710,Apple Berry Smoothie,Non alcoholic,Other/Unknown,Highball Glass,Throw everything into a blender and liquify.
13675,Flander's Flake-Out,Alcoholic,Ordinary Drink,Collins Glass,Bang 'em both in.
12089,Rum Old-fashioned,Alcoholic,Ordinary Drink,Old-fashioned glass,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve."
12091,Rum Screwdriver,Alcoholic,Ordinary Drink,Highball glass,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve."
12782,Thai Coffee,Non alcoholic,Coffee / Tea,Highball glass,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away."
17203,Kir,Alcoholic,Ordinary Drink,Wine Glass,"Add the crème de cassis to the bottom of the glass, then top up with wine."
12734,Chocolate Drink,Non alcoholic,Cocoa,Coffee mug,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug."
14510,Bailey's Dream Shake,Alcoholic,Soft Drink / Soda,Collins glass,Blend ingredients for 30 seconds. Definitely refreshing for a hot summer's day !
11024,Almond Joy,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
13971,Irish Coffee,Alcoholic,Coffee / Tea,Irish coffee cup,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot."
13026,Sangria - The World's Best,Alcoholic,Punch / Party Drink,Pitcher,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses."
17181,Dirty Martini,Alcoholic,Cocktail,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
11008,Affair,Alcoholic,Ordinary Drink,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
12702,Lemouroudji,Non alcoholic,Other/Unknown,Highball Glass,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve."
14688,Freddy Kruger,Alcoholic,Shot,Shot glass,make it an ample size shot!!
15288,252,Alcoholic,Shot,Shot glass,"Add both ingredients to shot glass, shoot, and get drunk quick"
12516,Whiskey Sour,Alcoholic,Ordinary Drink,Old-fashioned glass,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
17242,Bombay Cassis,Alcoholic,Cocktail,Balloon Glass,"Add the Bombay Sapphire, Crème de Cassis and lime juice to a balloon glass and swirl well to mix.
Fill the glass with good quality cubed ice.
Top up with chilled and freshly opened Fever-Tree Ginger Beer.
Gently stir to combine, top with a gently squeezed lime wedge and finish with a fresh ginger slice."
11145,Classic Old-Fashioned,Alcoholic,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick."
12988,Mulled Wine,Alcoholic,Punch / Party Drink,Collins Glass,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy."
11604,Kentucky Colonel,Alcoholic,Ordinary Drink,Cocktail glass,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.
14356,Blind Russian,Alcoholic,Milk / Float / Shake,Collins glass,Fill glass with ice. Add all liquers. Add milk. shake.
13196,Long vodka,Alcoholic,Ordinary Drink,Highball glass,"Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka"
11239,Cherry Rum,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
11118,Blue Margarita,Alcoholic,Ordinary Drink,Cocktail glass,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve."
17206,Mint Julep,Alcoholic,Ordinary Drink,Collins glass,"In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig."
17196,Cosmopolitan,Alcoholic,Cocktail,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
12864,Apple Cider Punch #1,Optional alcohol,Punch / Party Drink,Collins Glass,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice."
17194,White Lady,Alcoholic,Ordinary Drink,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.
12196,Sidecar,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.
14360,Absolut Sex,Alcoholic,Shot,Old-fashioned glass,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex."
17114,Ruby Tuesday,Alcoholic,Cocktail,Highball glass,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.
12670,Fruit Cooler,Non alcoholic,Other/Unknown,Highball Glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve."
13938,AT&T,Alcoholic,Ordinary Drink,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir"
11026,Amaretto Mist,Alcoholic,Ordinary Drink,Old-fashioned glass,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)"
15224,Malibu Twister,Alcoholic,Cocktail,Highball glass,"Add rum & trister then, add cranberry jucie,stir"
12708,Banana Cantaloupe Smoothie,Non alcoholic,Other/Unknown,Highball Glass,"Juice cantaloupe, pour juice into blender, add banana, and liquify."
16403,Black and Brown,Alcoholic,Beer,Beer pilsner,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.
15549,Negroni,Alcoholic,Ordinary Drink,Old-fashioned glass,"Stir into glass over ice, garnish and serve."
17222,A1,Alcoholic,Cocktail,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
11084,Bermuda Highball,Alcoholic,Ordinary Drink,Highball glass,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"
11205,California Lemonade,Alcoholic,Ordinary Drink,Collins glass,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.
17060,24k nightmare,Alcoholic,Shot,Shot glass,"Add over ice,shake and pour."
13202,Flaming Dr. Pepper,Alcoholic,Shot,Collins Glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer"
11369,Flying Scotchman,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
15182,After sex,Alcoholic,Ordinary Drink,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar
11034,Angel Face,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass.
13198,Quick F**K,Alcoholic,Shot,Shot glass,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream"
11022,Allies Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve."
17189,Monkey Gland,Alcoholic,Ordinary Drink,Cocktail glass,"Shake well over ice cubes in a shaker, strain into a chilled cocktail glass."
13214,Pisco Sour,Alcoholic,Cocktail,Cocktail glass,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]"
17184,Between The Sheets,Alcoholic,Ordinary Drink,Cocktail glass,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass."
17020,Auburn Headbanger,Alcoholic,Shot,Shot glass,Mix in spread glass over ice. Strain and pour in shot glass. Sit down before shotting. ENJOY!!
15825,Jamaican Coffee,Alcoholic,Coffee / Tea,Champagne flute,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw."
16447,Brandon and Will's Coke Float,Alcoholic,Soft Drink / Soda,Beer mug,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy."
17122,Royal Bitch,Alcoholic,Shot,Shot glass,Into a shot glass layer the Crown Royal on top of the Frangelico.
14978,Rum Punch,Alcoholic,Punch / Party Drink,Punch bowl,Mix all ingredients in a punch bowl and serve.
15789,Snakebite and Black,Alcoholic,Beer,Pint glass,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.
16405,A Piece of Ass,Alcoholic,Other/Unknown,Highball glass,Put ice in glass. Pour in shots. Fill with Sour Mix.
13423,Atlantic Sun,Alcoholic,Ordinary Drink,Collins Glass,"Shake all the ingredients, top the drink with soda. Garnish with a slice of orange."
12093,Rum Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
12690,Lassi - A South Indian Drink,Non alcoholic,Other/Unknown,Highball Glass,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold."
14584,Arizona Stingers,Alcoholic,Cocktail,Hurricane glass,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!
11991,Queen Elizabeth,Alcoholic,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
15006,Turkeyball,Alcoholic,Shot,Shot glass,Shake with ice and strain into a shot glass.
11766,Midnight Cowboy,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
15403,Vodka Russian,Alcoholic,Ordinary Drink,Collins Glass,Mix it as a ordinary drink .
12460,Vodka And Tonic,Alcoholic,Ordinary Drink,Highball glass,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve."
11326,Dubonnet Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
15328,Zorro,Alcoholic,Coffee / Tea,Coffee Mug,add all and pour black coffee and add whipped cream on top.
17221,Boozy Snickers Milkshake,Alcoholic,Milk / Float / Shake,Mason jar,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream."
12316,Strawberry Daiquiri,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
16273,Shark Attack,Alcoholic,Cocktail,Pitcher,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
17199,Golden dream,Alcoholic,Ordinary Drink,Cocktail glass,Shake with cracked ice. Strain into glass and serve.
12750,Spanish chocolate,Non alcoholic,Cocoa,Coffee mug,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug."
15024,Absolutely Cranberry Smash,Alcoholic,Ordinary Drink,Cocktail glass,Stir ingredients together. Serve over ice.
11023,Almeria,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
12914,Egg-Nog - Classic Cooked,Optional alcohol,Punch / Party Drink,Pitcher,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately."
12067,Rum Cobbler,Alcoholic,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices."
11291,Daiquiri,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
16311,Applejack,Alcoholic,Cocktail,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass"
11963,Port Wine Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Stir ingredients with ice, strain into a cocktail glass, and serve."
13032,Spiced Peach Punch,Non alcoholic,Punch / Party Drink,Collins Glass,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs."
17182,Duchamp's Punch,Alcoholic,Cocktail,Old-fashioned glass,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs"
15346,155 Belmont,Alcoholic,Cocktail,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.
13825,Midnight Manx,Alcoholic,Ordinary Drink,Old-fashioned glass,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!"
17229,Adios Amigos Cocktail,Alcoholic,Cocktail,Martini Glass,Shake together all the ingredients and strain into a cold glass.
12087,Rum Milk Punch,Alcoholic,Ordinary Drink,Collins glass,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.
11387,Frozen Daiquiri,Alcoholic,Ordinary Drink,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
11415,Gin Sling,Alcoholic,Ordinary Drink,Old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.
17201,Hemingway Special,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.
